surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
18,32,14,-1,1,-1,1,1,1,1,الكهف,وَجَعَلۡنَا بَیۡنَهُمَا زَرۡعࣰا
18,35,12,1,-1,1,1,-1,1,1,الكهف,تَبِیدَ هَٰذِهِۦٓ أَبَدࣰا
18,84,10,-1,1,-1,1,1,1,1,الكهف,كُلِّ شَیۡءࣲ سَبَبࣰا
18,85,2,-1,-1,-1,1,-1,1,-1,الكهف,فَأَتۡبَعَ سَبَبًا
18,86,13,1,-1,1,1,1,-1,1,الكهف,وَوَجَدَ عِندَهَا قَوۡمࣰا
18,89,3,-1,-1,-1,1,-1,1,-1,الكهف,ثُمَّ أَتۡبَعَ سَبَبًا
18,92,3,-1,-1,-1,1,-1,1,-1,الكهف,ثُمَّ أَتۡبَعَ سَبَبًا
18,103,5,-1,-1,-1,1,1,1,1,الكهف,نُنَبِّئُكُم بِٱلۡأَخۡسَرِینَ أَعۡمَٰلًا
19,1,1,-1,-1,-1,-1,-1,1,-1,مريم,كٓهیعٓصٓ
19,41,4,-1,1,1,-1,-1,-1,-1,مريم,فِی ٱلۡكِتَٰبِ إِبۡرَٰهِیمَ
19,75,9,1,1,1,1,1,-1,1,مريم,لَهُ ٱلرَّحۡمَٰنُ مَدًّا
20,1,1,-1,-1,-1,-1,-1,1,-1,طه,طه
20,33,3,1,1,1,-1,1,1,1,طه,كَیۡ نُسَبِّحَكَ كَثِیرࣰا
20,34,2,1,1,1,-1,1,1,1,طه,وَنَذۡكُرَكَ كَثِیرًا
20,39,7,-1,-1,-1,-1,-1,-1,1,طه,فاقذفيه في اليم
20,39,19,1,1,1,-1,1,-1,-1,طه,عَلَیۡكَ مَحَبَّةࣰ مِّنِّی
20,40,17,-1,-1,-1,-1,1,-1,1,طه,عَیۡنُهَا وَلَا تَحۡزَنَ
20,40,24,-1,-1,-1,1,1,-1,1,طه,ٱلۡغَمِّ وَفَتَنَّٰكَ فُتُونࣰا
20,40,29,-1,-1,-1,-1,1,-1,-1,طه,فِیٓ أَهۡلِ مَدۡیَنَ
20,41,2,-1,-1,-1,-1,1,1,1,طه,وَٱصۡطَنَعۡتُكَ لِنَفۡسِی
20,47,9,-1,-1,-1,-1,1,-1,1,طه,مَعَنَا بَنِیٓ إِسۡرَٰٓءِیلَ
20,77,4,-1,-1,-1,-1,1,-1,-1,طه,أَوۡحَیۡنَآ إِلَىٰ مُوسَىٰٓ
20,78,8,-1,-1,-1,-1,-1,1,-1,طه,ٱلۡیَمِّ مَا غَشِیَهُمۡ
20,86,6,1,-1,1,-1,-1,-1,1,طه,قَوۡمِهِۦ غَضۡبَٰنَ أَسِفࣰا
